0,1,2,3,4,5,6,7,8,9
4,6,2,1,7,0,9,8,5,3
4,6,2,1,7,0,9,8,5,3
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
4,6,2,1,7,0,9,8,5,3
5,7,2,9,6,0,8,1,4,3
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
5,7,2,9,6,0,8,1,4,3
4,6,2,1,7,0,9,8,5,3
8,7,9,5,0,3,6,1,4,2
4,6,2,1,7,0,9,8,5,3
5,7,2,9,6,0,8,1,4,3
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
5,7,2,9,6,0,8,1,4,3
4,6,2,1,7,0,9,8,5,3
4,6,2,1,7,0,9,8,5,3
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
5,7,2,9,6,0,8,1,4,3
4,6,2,1,7,0,9,8,5,3
6,4,1,3,7,9,5,8,2,0
8,7,9,5,0,3,6,1,4,2
4,6,2,1,7,0,9,8,5,3
8,7,9,5,0,3,6,1,4,2
4,1,3,5,2,0,7,8,9,6
6,4,1,3,7,9,5,8,2,0
2,6,9,5,1,4,0,3,8,7
7,9,1,3,0,5,8,4,6,2
4,6,2,1,7,0,9,8,5,3
4,6,2,1,7,0,9,8,5,3
4,6,2,1,7,0,9,8,5,3
6,4,1,3,7,9,5,8,2,0
4,6,2,1,7,0,9,8,5,3
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
1,3,2,5,0,8,6,7,9,4
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,3,7,8,0,2,5,1,9,4
6,4,1,3,7,9,5,8,2,0
7,9,1,3,0,5,8,4,6,2
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
5,7,2,9,6,0,8,1,4,3
5,7,2,9,6,0,8,1,4,3
4,6,2,1,7,0,9,8,5,3
7,9,1,3,0,5,8,4,6,2
2,6,9,5,1,4,0,3,8,7
4,6,2,1,7,0,9,8,5,3
6,4,1,3,7,9,5,8,2,0
5,7,2,9,6,0,8,1,4,3
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
4,6,2,1,7,0,9,8,5,3
7,9,1,3,0,5,8,4,6,2
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
4,6,2,1,7,0,9,8,5,3
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
4,6,2,1,7,0,9,8,5,3
4,6,2,1,7,0,9,8,5,3
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
2,6,9,5,1,4,0,3,8,7
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
4,6,2,1,7,0,9,8,5,3
6,4,1,3,7,9,5,8,2,0
2,6,9,5,1,4,0,3,8,7
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
5,7,2,9,6,0,8,1,4,3
4,6,2,1,7,0,9,8,5,3
6,4,1,3,7,9,5,8,2,0
6,3,7,8,0,2,5,1,9,4
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
7,9,1,3,0,5,8,4,6,2
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
6,4,1,3,7,9,5,8,2,0
5,7,2,9,6,0,8,1,4,3
4,6,2,1,7,0,9,8,5,3
6,3,7,8,0,2,5,1,9,4
