0,1,2,3,4,5,6,7,8,9
8,5,4,3,6,9,2,1,7,0
2,0,6,8,1,5,3,4,9,7
2,0,6,8,1,5,3,4,9,7
3,8,9,0,7,4,1,6,5,2
2,0,6,8,1,5,3,4,9,7
8,5,4,3,6,9,2,1,7,0
2,0,6,8,1,5,3,4,9,7
2,0,6,8,1,5,3,4,9,7
2,0,6,8,1,5,3,4,9,7
0,4,6,1,7,8,3,2,5,9
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
0,4,6,1,7,8,3,2,5,9
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
8,5,4,3,6,9,2,1,7,0
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
8,5,4,3,6,9,2,1,7,0
8,5,4,3,6,9,2,1,7,0
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
0,4,6,1,7,8,3,2,5,9
8,5,4,3,6,9,2,1,7,0
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
2,0,6,8,1,5,3,4,9,7
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
8,5,4,3,6,9,2,1,7,0
2,0,6,8,1,5,3,4,9,7
8,5,4,3,6,9,2,1,7,0
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
0,4,6,1,7,8,3,2,5,9
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
3,2,6,0,1,7,4,8,5,9
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
8,5,4,3,6,9,2,1,7,0
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
8,5,4,3,6,9,2,1,7,0
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
0,4,6,1,7,8,3,2,5,9
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
8,5,4,3,6,9,2,1,7,0
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
0,4,6,1,7,8,3,2,5,9
0,4,6,1,7,8,3,2,5,9
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
8,5,4,3,6,9,2,1,7,0
8,5,4,3,6,9,2,1,7,0
2,0,6,8,1,5,3,4,9,7
8,5,4,3,6,9,2,1,7,0
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
2,0,6,8,1,5,3,4,9,7
8,5,4,3,6,9,2,1,7,0
8,5,4,3,6,9,2,1,7,0
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
9,6,1,0,3,7,2,5,4,8
8,5,4,3,6,9,2,1,7,0
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
2,0,6,8,1,5,3,4,9,7
9,6,1,0,3,7,2,5,4,8
