0,1,2,3,4,5,6,7,8,9
5,4,9,3,8,1,7,6,2,0
5,4,3,9,8,1,7,6,0,2
5,4,3,9,1,8,0,7,6,2
5,1,3,0,4,9,8,2,7,6
5,4,9,3,8,1,7,6,2,0
5,3,1,4,0,9,8,2,7,6
9,8,5,4,7,3,1,6,2,0
5,4,3,9,8,1,7,6,0,2
1,0,3,2,5,4,8,9,6,7
1,0,5,3,4,2,9,8,7,6
5,1,3,0,4,9,8,2,7,6
1,0,3,5,2,4,9,8,6,7
9,8,5,4,7,3,6,1,2,0
9,8,5,4,3,1,7,6,2,0
5,3,1,4,0,9,8,2,7,6
1,0,5,3,4,2,9,8,7,6
5,4,3,9,1,8,0,7,6,2
5,4,3,9,8,1,0,7,6,2
9,8,7,5,4,3,6,2,1,0
0,1,3,2,4,5,8,6,9,7
5,4,9,3,8,1,7,6,2,0
0,1,3,2,5,4,8,9,6,7
0,1,3,2,4,5,8,6,9,7
5,3,4,1,0,9,8,2,7,6
5,3,1,0,4,9,8,2,7,6
5,4,3,9,8,1,0,7,6,2
5,4,3,9,1,0,8,7,6,2
9,8,5,4,7,3,6,1,2,0
5,4,9,3,8,1,7,6,2,0
0,1,3,2,4,5,8,9,6,7
5,4,3,9,1,8,0,7,6,2
1,0,3,5,2,4,8,9,6,7
5,4,3,9,1,0,8,7,2,6
9,8,5,7,4,3,6,2,1,0
5,9,4,8,3,1,7,6,2,0
5,4,3,1,9,0,8,7,2,6
0,1,3,2,4,5,8,6,9,7
1,0,3,5,2,4,9,8,6,7
5,4,3,9,8,1,7,0,6,2
5,4,9,8,3,1,7,6,2,0
9,5,8,4,3,1,7,6,2,0
5,1,3,0,4,9,8,2,7,6
9,8,7,5,6,4,3,2,1,0
0,1,3,2,5,4,8,9,6,7
5,4,3,9,1,0,8,7,2,6
5,4,3,9,1,8,0,7,6,2
0,1,3,2,4,5,8,9,6,7
9,8,5,7,4,3,6,1,2,0
5,4,3,9,8,1,7,6,2,0
5,9,4,8,3,1,7,6,2,0
1,0,5,3,4,2,9,8,7,6
0,1,3,2,5,4,8,9,6,7
9,8,5,4,7,3,6,1,2,0
0,1,2,3,4,5,6,7,8,9
1,5,3,0,4,9,2,8,7,6
9,8,5,7,4,3,6,1,2,0
9,8,5,4,7,3,6,1,2,0
5,3,1,0,4,9,8,2,7,6
9,8,5,4,3,1,7,6,2,0
9,8,5,4,7,3,6,1,2,0
1,0,5,3,2,4,9,8,7,6
5,4,3,9,8,1,7,6,0,2
5,4,9,8,3,1,7,6,2,0
5,4,3,9,8,1,7,6,2,0
9,8,5,4,7,3,1,6,2,0
5,4,9,8,3,1,7,6,2,0
5,4,9,3,8,1,7,6,2,0
5,4,3,9,1,0,8,7,6,2
5,9,8,4,3,1,7,6,2,0
5,4,3,1,9,0,8,7,2,6
5,4,3,1,9,0,8,2,7,6
5,9,4,8,3,1,7,6,2,0
1,0,3,5,2,4,9,8,7,6
5,4,3,9,8,1,7,6,0,2
0,1,2,3,4,5,8,6,9,7
5,4,3,9,1,0,8,7,6,2
5,3,4,1,0,9,8,2,7,6
9,8,5,7,4,3,6,1,2,0
9,8,5,4,3,7,1,6,2,0
9,8,5,4,7,3,6,1,2,0
5,4,3,9,8,1,7,6,0,2
0,1,2,3,4,5,6,8,7,9
9,5,8,4,3,1,7,6,2,0
9,8,7,5,4,3,6,2,1,0
5,9,4,8,3,1,7,6,2,0
0,1,3,2,4,5,8,6,9,7
0,1,2,3,4,5,6,7,8,9
5,4,3,1,0,9,8,2,7,6
5,3,1,4,0,9,8,2,7,6
1,0,3,2,5,4,8,9,6,7
1,0,5,3,4,2,9,8,7,6
1,0,3,5,2,4,9,8,7,6
5,9,4,8,3,1,7,6,2,0
9,5,8,4,3,1,7,6,2,0
0,1,2,3,4,5,6,8,9,7
9,8,5,4,7,3,1,6,2,0
1,0,3,5,2,4,9,8,6,7
0,1,3,2,4,5,8,6,9,7
0,1,3,2,5,4,8,9,6,7
1,5,3,0,4,2,9,8,7,6
