0,1,2,3,4,5,6,7,8,9
9,8,6,7,5,3,4,2,1,0
1,0,2,6,3,7,4,5,9,8
1,6,0,3,2,7,4,5,9,8
6,3,1,2,9,0,8,7,4,5
6,3,9,2,1,8,0,7,4,5
6,3,1,2,9,0,7,8,4,5
1,6,0,3,2,7,4,5,9,8
9,6,3,2,8,7,1,5,4,0
1,0,2,3,4,5,6,7,8,9
9,6,8,3,7,2,5,4,1,0
6,1,0,3,2,7,9,4,5,8
9,6,3,8,2,7,5,4,1,0
1,0,6,3,2,7,4,5,9,8
9,8,6,7,5,3,4,2,1,0
9,6,3,2,1,8,7,4,0,5
9,6,3,2,1,8,7,5,4,0
9,8,7,6,5,3,4,2,1,0
6,3,1,2,9,0,8,7,4,5
9,6,8,3,7,2,5,4,1,0
1,0,2,3,4,6,7,5,9,8
6,3,1,9,2,0,8,7,4,5
9,6,3,2,1,8,7,4,0,5
9,8,6,7,5,3,4,2,1,0
1,0,2,3,4,5,6,7,8,9
9,6,8,3,7,2,5,4,1,0
9,6,3,8,2,7,5,4,1,0
9,6,3,2,1,8,7,4,0,5
1,0,2,6,3,7,4,5,9,8
9,6,8,7,3,5,4,2,1,0
6,3,9,1,2,8,0,7,4,5
1,6,0,3,2,7,4,9,5,8
6,3,1,2,0,9,7,4,8,5
9,6,8,3,7,2,5,4,1,0
6,3,1,9,2,0,8,7,4,5
9,6,8,3,7,2,5,4,1,0
9,6,8,7,3,5,4,2,1,0
1,0,2,6,3,4,7,5,9,8
1,0,2,3,4,6,7,5,9,8
6,1,3,0,2,9,7,4,8,5
9,6,3,2,8,7,1,5,4,0
1,0,6,2,3,7,4,5,9,8
6,3,1,2,9,0,7,8,4,5
6,3,1,2,9,0,8,7,4,5
9,6,3,8,2,7,5,4,1,0
1,0,2,3,4,6,5,7,9,8
9,6,8,3,7,2,5,4,1,0
9,6,3,8,7,2,5,4,1,0
9,6,3,8,2,7,5,4,1,0
9,6,3,2,1,8,7,4,5,0
6,1,0,3,2,7,4,9,5,8
1,0,2,3,6,4,7,5,9,8
1,0,2,6,3,7,4,5,9,8
9,6,3,2,1,8,7,5,4,0
6,3,9,1,2,8,0,7,4,5
6,3,1,2,9,0,7,8,4,5
1,0,2,3,4,6,7,5,9,8
1,0,2,3,6,4,7,5,9,8
9,6,3,2,8,7,5,4,1,0
9,6,3,2,1,8,7,5,4,0
1,0,2,6,3,4,7,5,9,8
1,0,6,2,3,7,4,5,9,8
6,1,0,3,2,7,9,4,5,8
6,3,1,2,0,9,7,8,4,5
9,6,8,7,3,2,5,4,1,0
6,3,1,2,0,9,7,8,4,5
1,0,2,6,3,7,4,5,9,8
9,8,7,6,5,3,4,2,1,0
6,3,9,2,1,8,7,0,4,5
1,0,2,3,6,4,7,5,9,8
6,1,0,3,2,7,9,4,5,8
9,8,7,6,5,3,4,2,1,0
9,6,8,7,3,5,2,4,1,0
9,8,7,6,5,3,4,2,1,0
1,0,2,6,3,4,7,5,9,8
9,6,8,7,3,5,4,2,1,0
6,3,1,9,2,8,0,7,4,5
6,3,1,2,9,0,7,8,4,5
9,6,3,2,8,7,5,4,1,0
6,1,0,3,2,7,9,4,5,8
6,3,9,1,2,8,0,7,4,5
6,3,1,2,9,0,7,8,4,5
9,6,3,2,1,8,7,4,5,0
1,0,2,3,4,6,7,5,9,8
9,6,3,2,1,8,7,4,0,5
6,3,1,2,9,0,8,7,4,5
9,6,3,2,1,8,7,4,5,0
0,1,2,3,4,5,6,7,8,9
9,6,3,2,8,7,1,5,4,0
1,0,2,3,4,6,5,7,8,9
6,1,0,3,2,9,7,4,5,8
6,3,1,2,0,9,7,8,4,5
9,6,3,2,1,8,7,4,0,5
9,8,7,6,5,3,4,2,1,0
6,3,9,2,1,8,0,7,4,5
9,8,6,7,5,3,4,2,1,0
6,3,9,2,1,8,0,7,4,5
9,6,3,8,7,2,5,4,1,0
9,6,3,2,8,7,5,1,4,0
9,8,6,7,3,5,4,2,1,0
6,3,1,2,0,9,7,4,8,5
