0,1,2,3,4,5,6,7,8,9
7,0,3,2,8,1,4,5,6,9
4,7,0,8,2,1,5,9,3,6
0,8,7,1,3,4,2,5,9,6
5,6,9,0,1,4,8,2,3,7
3,8,5,2,0,7,9,4,6,1
8,1,3,7,2,5,9,4,0,6
3,8,0,1,4,9,6,7,5,2
3,8,0,1,4,9,6,7,5,2
7,5,6,1,9,3,2,0,4,8
7,5,6,1,9,3,2,0,4,8
2,6,3,0,5,1,7,9,8,4
2,1,3,8,4,0,6,9,5,7
0,8,7,1,3,4,2,5,9,6
0,8,7,1,3,4,2,5,9,6
1,9,7,0,5,2,3,8,4,6
8,1,6,3,5,0,2,7,9,4
0,1,4,5,2,7,9,3,8,6
4,7,0,8,2,1,5,9,3,6
7,1,8,5,6,0,2,3,4,9
8,9,0,2,7,3,4,1,5,6
9,5,6,2,3,0,1,8,7,4
8,1,3,7,2,5,9,4,0,6
8,1,3,7,2,5,9,4,0,6
2,1,3,8,4,0,6,9,5,7
4,7,0,8,2,1,5,9,3,6
4,7,0,5,3,9,2,8,6,1
0,8,7,1,3,4,2,5,9,6
6,8,3,4,9,5,0,7,1,2
2,6,3,0,5,1,7,9,8,4
6,8,3,4,9,5,0,7,1,2
8,1,3,7,2,5,9,4,0,6
8,1,3,7,2,5,9,4,0,6
0,2,1,8,3,9,4,7,5,6
9,5,6,2,3,0,1,8,7,4
7,5,6,1,9,3,2,0,4,8
7,5,6,1,9,3,2,0,4,8
9,8,7,4,1,2,6,3,0,5
8,1,3,7,2,5,9,4,0,6
9,8,7,4,1,2,6,3,0,5
0,8,7,1,3,4,2,5,9,6
4,7,0,8,2,1,5,9,3,6
3,8,0,1,4,9,6,7,5,2
7,5,6,1,9,3,2,0,4,8
0,1,4,5,2,7,9,3,8,6
0,2,1,8,3,9,4,7,5,6
7,1,8,5,6,0,2,3,4,9
8,9,0,2,7,3,4,1,5,6
8,0,3,5,4,6,7,2,9,1
0,8,7,1,3,4,2,5,9,6
9,5,6,2,3,0,1,8,7,4
9,5,6,2,3,0,1,8,7,4
9,5,6,2,3,0,1,8,7,4
7,5,6,1,9,3,2,0,4,8
5,6,9,0,1,4,8,2,3,7
3,8,0,1,4,9,6,7,5,2
9,8,7,4,1,2,6,3,0,5
9,8,7,4,1,2,6,3,0,5
2,6,3,0,5,1,7,9,8,4
7,0,3,2,8,1,4,5,6,9
1,9,7,0,5,2,3,8,4,6
8,1,3,7,2,5,9,4,0,6
8,1,3,7,2,5,9,4,0,6
6,8,3,1,0,5,2,7,4,9
5,6,9,0,1,4,8,2,3,7
9,8,7,4,1,2,6,3,0,5
8,1,3,7,2,5,9,4,0,6
9,5,6,2,3,0,1,8,7,4
9,5,6,2,3,0,1,8,7,4
9,5,6,2,3,0,1,8,7,4
1,5,7,9,8,6,3,2,0,4
6,8,3,4,9,5,0,7,1,2
3,8,0,1,4,9,6,7,5,2
8,1,3,7,2,5,9,4,0,6
5,8,0,6,7,4,9,3,2,1
4,7,0,5,3,9,2,8,6,1
7,1,8,5,6,0,2,3,4,9
6,8,3,1,0,5,2,7,4,9
8,9,0,2,7,3,4,1,5,6
0,1,4,5,2,7,9,3,8,6
3,8,0,1,4,9,6,7,5,2
3,8,0,1,4,9,6,7,5,2
3,8,0,1,4,9,6,7,5,2
7,0,3,2,8,1,4,5,6,9
6,8,3,4,9,5,0,7,1,2
7,0,3,2,8,1,4,5,6,9
6,8,3,1,0,5,2,7,4,9
7,5,6,1,9,3,2,0,4,8
1,0,7,5,6,9,8,2,4,3
3,8,0,1,4,9,6,7,5,2
9,5,6,2,3,0,1,8,7,4
9,5,6,2,3,0,1,8,7,4
4,7,0,8,2,1,5,9,3,6
0,8,7,1,3,4,2,5,9,6
5,8,0,6,7,4,9,3,2,1
0,8,7,1,3,4,2,5,9,6
8,0,1,5,7,6,2,4,9,3
9,8,7,4,1,2,6,3,0,5
9,8,7,4,1,2,6,3,0,5
5,6,9,0,1,4,8,2,3,7
6,8,3,1,0,5,2,7,4,9
