,0,1,2,3,4,5,6,7
1,Write-In cells: 228,,,,,,,
2,Overvote cells: 223,,,,,,,
3,Carmen N. De La Rosa: 0,,,,,,,
4,Johanna Garcia: 1,,,,,,,
5,Francesca M. Castellanos: 2,,,,,,,
6,Angela Fernandez: 3,,,,,,,
7,Josue Perez: 4,,,,,,,
8,James E. Behr: 5,,,,,,,
9,Tirso S. Pina: 6,,,,,,,
10,Thomas A. Leon: 7,,,,,,,
16309,0,,,,,,,
16310,0,1.0,2.0,,,,,
16311,0,1.0,3.0,,,,,
16312,0,,,,,,,
16313,0,,,,,,,
16314,0,4.0,2.0,,,,,
16316,0,1.0,5.0,4.0,3.0,,,
16317,0,4.0,5.0,1.0,2.0,,,
16320,5,1.0,,,,,,
16321,0,1.0,3.0,4.0,5.0,,,
16322,0,1.0,3.0,2.0,6.0,,,
16324,0,4.0,2.0,,,,,
16325,3,2.0,0.0,1.0,7.0,,,
16326,0,4.0,2.0,,,,,
16732,3,1.0,0.0,5.0,4.0,,,
16734,0,1.0,3.0,2.0,5.0,,,
16735,2,3.0,1.0,0.0,,,,
16736,3,7.0,4.0,0.0,1.0,,,
16737,1,3.0,0.0,,,,,
16738,1,,,,,,,
16739,1,,,,,,,
16740,1,0.0,3.0,4.0,5.0,,,
16741,4,0.0,3.0,,,,,
17002,0,1.0,3.0,4.0,2.0,,,
17111,1,0.0,3.0,,,,,
17112,1,2.0,,,,,,
17113,1,,,,,,,
17114,0,1.0,3.0,,,,,
17116,0,1.0,3.0,2.0,,,,
17117,0,7.0,2.0,3.0,4.0,,,
17118,0,3.0,1.0,4.0,5.0,,,
17119,0,1.0,,,,,,
17120,3,1.0,5.0,,,,,
17121,0,1.0,3.0,2.0,7.0,,,
17122,3,,,,,,,
17123,2,3.0,0.0,1.0,,,,
17124,1,,,,,,,
17125,1,3.0,4.0,0.0,,,,
17126,3,1.0,0.0,,,,,
17127,5,,,,,,,
17128,1,0.0,3.0,4.0,6.0,,,
17129,2,,,,,,,
17130,0,1.0,,,,,,
17131,2,,,,,,,
17132,0,1.0,3.0,,,,,
17133,0,1.0,,,,,,
17135,4,7.0,2.0,3.0,0.0,,,
17137,3,1.0,,,,,,
17519,0,5.0,,,,,,
17648,2,,,,,,,
17649,3,2.0,5.0,,,,,
17650,3,,,,,,,
17651,0,1.0,,,,,,
17652,0,1.0,5.0,4.0,6.0,,,
17653,0,1.0,,,,,,
17654,2,3.0,0.0,1.0,5.0,,,
17655,2,3.0,0.0,1.0,7.0,,,
17656,0,1.0,4.0,,,,,
17657,3,0.0,1.0,2.0,5.0,,,
17658,2,0.0,1.0,3.0,4.0,,,
17659,6,,,,,,,
17661,1,,,,,,,
17662,3,,,,,,,
17663,3,1.0,4.0,0.0,2.0,,,
17664,3,1.0,0.0,,,,,
17665,3,1.0,0.0,,,,,
17666,5,,,,,,,
17667,1,3.0,0.0,2.0,7.0,,,
17668,0,3.0,4.0,1.0,,,,
17670,0,,,,,,,
17671,0,,,,,,,
17673,0,3.0,4.0,2.0,5.0,,,
17674,3,1.0,0.0,,,,,
17676,0,1.0,,,,,,
17677,0,5.0,1.0,3.0,,,,
17678,0,2.0,1.0,4.0,6.0,,,
17679,7,2.0,5.0,6.0,0.0,,,
17828,5,,,,,,,
17829,5,7.0,1.0,3.0,2.0,,,
17830,1,0.0,,,,,,
17831,1,,,,,,,
17832,5,0.0,1.0,6.0,7.0,,,
17833,3,2.0,,,,,,
17834,0,,,,,,,
17835,3,1.0,0.0,2.0,,,,
17836,3,1.0,0.0,2.0,,,,
17837,0,3.0,2.0,1.0,,,,
17838,1,5.0,,,,,,
17839,0,,,,,,,
17840,3,5.0,7.0,,,,,
17841,0,1.0,2.0,,,,,
17842,0,,,,,,,
17843,4,1.0,0.0,5.0,3.0,,,
17844,0,1.0,2.0,,,,,
17845,1,0.0,4.0,3.0,5.0,,,
17883,0,1.0,2.0,,,,,
17884,1,,,,,,,
17885,5,0.0,,,,,,
17886,0,,,,,,,
17887,3,,,,,,,
17888,3,0.0,2.0,4.0,1.0,,,
17889,5,7.0,,,,,,
17890,1,,,,,,,
17891,1,0.0,,,,,,
17892,1,3.0,0.0,,,,,
17929,0,1.0,5.0,,,,,
17930,0,1.0,3.0,4.0,2.0,,,
17931,3,5.0,,,,,,
17932,1,3.0,,,,,,
17933,3,1.0,4.0,0.0,2.0,,,
17934,1,0.0,,,,,,
17935,0,1.0,3.0,2.0,,,,
17936,0,1.0,2.0,3.0,4.0,,,
17937,4,5.0,,,,,,
17938,1,,,,,,,
17939,1,,,,,,,
17940,0,1.0,3.0,2.0,,,,
17941,1,0.0,2.0,,,,,
17942,1,3.0,,,,,,
17943,3,,,,,,,
17945,0,3.0,1.0,,,,,
17946,4,5.0,1.0,,,,,
17947,1,0.0,3.0,,,,,
17971,1,3.0,2.0,,,,,
17972,1,0.0,2.0,6.0,,,,
17973,1,3.0,2.0,,,,,
18159,1,5.0,7.0,,,,,
18160,5,4.0,1.0,,,,,
18161,0,1.0,,,,,,
18163,0,1.0,3.0,,,,,
18164,3,,,,,,,
18165,1,3.0,,,,,,
18166,0,1.0,,,,,,
18167,3,1.0,0.0,,,,,
18168,5,4.0,,,,,,
18169,1,0.0,3.0,,,,,
18170,1,0.0,3.0,2.0,6.0,,,
18172,0,1.0,3.0,,,,,
18174,3,0.0,1.0,2.0,,,,
18175,1,3.0,0.0,,,,,
18176,1,3.0,0.0,,,,,
18177,3,0.0,1.0,2.0,6.0,,,
18178,1,,,,,,,
18179,3,,,,,,,
18180,0,1.0,3.0,,,,,
18181,0,,,,,,,
18182,0,1.0,,,,,,
18183,1,3.0,,,,,,
18184,0,6.0,5.0,4.0,3.0,,,
18186,1,0.0,3.0,,,,,
18187,3,1.0,0.0,2.0,,,,
18188,1,0.0,,,,,,
18189,3,7.0,6.0,0.0,1.0,,,
18190,5,7.0,,,,,,
18191,3,4.0,1.0,0.0,,,,
18192,5,4.0,6.0,,,,,
18193,0,2.0,5.0,1.0,3.0,,,
18194,0,3.0,5.0,1.0,7.0,,,
18195,1,0.0,3.0,,,,,
18196,2,3.0,0.0,1.0,4.0,,,
18197,0,7.0,,,,,,
18198,0,3.0,1.0,5.0,,,,
18350,0,1.0,3.0,2.0,7.0,,,
18351,0,2.0,3.0,7.0,,,,
18352,1,0.0,3.0,2.0,,,,
18353,1,0.0,,,,,,
18354,3,1.0,0.0,,,,,
18355,1,3.0,0.0,4.0,6.0,,,
18356,1,0.0,,,,,,
18357,0,1.0,,,,,,
18358,3,1.0,,,,,,
18359,3,,,,,,,
18360,0,3.0,5.0,1.0,,,,
18361,0,1.0,,,,,,
18362,1,,,,,,,
18363,1,0.0,3.0,2.0,7.0,,,
18364,3,2.0,5.0,6.0,,,,
18365,2,7.0,,,,,,
18366,0,5.0,,,,,,
18367,5,3.0,7.0,0.0,1.0,,,
18368,1,,,,,,,
18369,3,0.0,,,,,,
18370,3,,,,,,,
18371,5,1.0,4.0,,,,,
18372,0,1.0,,,,,,
18373,1,0.0,3.0,4.0,,,,
18374,1,3.0,0.0,5.0,4.0,,,
18375,3,0.0,1.0,4.0,2.0,,,
18465,0,3.0,2.0,,,,,
18784,1,0.0,3.0,2.0,,,,
18788,3,,,,,,,
