,0,1,2,3,4,5,6,7
1,Write-In cells: 192,,,,,,,
2,Overvote cells: 208,,,,,,,
3,Manuel F. Perez: 0,,,,,,,
4,Alfonso Quiroz: 1,,,,,,,
5,Shekar Krishnan: 2,,,,,,,
6,William H. Salgado: 3,,,,,,,
7,Yi Andy Chen: 4,,,,,,,
8,Carolyn Tran: 5,,,,,,,
9,Liliana C. Melo: 6,,,,,,,
10,Fatima Baryab: 7,,,,,,,
1775,0,1.0,2.0,3.0,4.0,,,
1776,5,,,,,,,
1777,1,,,,,,,
1778,5,,,,,,,
1779,2,,,,,,,
1780,5,4.0,,,,,,
1781,5,4.0,3.0,1.0,0.0,,,
1782,2,6.0,0.0,7.0,1.0,,,
1783,5,6.0,7.0,,,,,
1784,2,5.0,4.0,6.0,,,,
1785,4,5.0,1.0,2.0,6.0,,,
1786,0,1.0,4.0,5.0,6.0,,,
1787,0,1.0,4.0,5.0,6.0,,,
1788,2,4.0,6.0,,,,,
1789,1,,,,,,,
1790,4,5.0,2.0,1.0,7.0,,,
1791,2,5.0,,,,,,
1792,2,,,,,,,
1793,2,5.0,4.0,,,,,
1794,2,5.0,4.0,7.0,1.0,,,
1795,2,1.0,3.0,7.0,,,,
1796,2,5.0,4.0,,,,,
1797,4,1.0,7.0,5.0,,,,
1798,5,4.0,,,,,,
1799,5,3.0,2.0,,,,,
1800,5,3.0,2.0,,,,,
1801,5,2.0,1.0,,,,,
1802,2,5.0,1.0,0.0,7.0,,,
1803,2,5.0,,,,,,
1804,5,,,,,,,
1805,2,,,,,,,
1806,7,4.0,5.0,,,,,
1807,7,2.0,,,,,,
1808,2,5.0,4.0,1.0,0.0,,,
1809,2,5.0,,,,,,
1810,5,2.0,,,,,,
1811,2,7.0,5.0,,,,,
1812,1,2.0,7.0,5.0,6.0,,,
1813,2,,,,,,,
1814,2,1.0,4.0,0.0,6.0,,,
1815,2,5.0,1.0,4.0,6.0,,,
1816,5,2.0,6.0,1.0,7.0,,,
1817,4,5.0,1.0,2.0,6.0,,,
1818,5,4.0,1.0,2.0,0.0,,,
1819,5,6.0,2.0,7.0,3.0,,,
1865,1,5.0,4.0,6.0,0.0,,,
1866,1,,,,,,,
1867,1,2.0,6.0,0.0,5.0,,,
1868,2,5.0,1.0,4.0,7.0,,,
1869,5,1.0,2.0,,,,,
1870,4,7.0,1.0,,,,,
1871,5,4.0,6.0,0.0,1.0,,,
1872,2,5.0,,,,,,
1873,7,2.0,,,,,,
1874,2,5.0,1.0,7.0,6.0,,,
1875,2,5.0,1.0,,,,,
1876,5,4.0,7.0,2.0,,,,
1877,2,4.0,6.0,7.0,1.0,,,
1878,5,4.0,,,,,,
1879,2,5.0,4.0,,,,,
1880,5,4.0,6.0,,,,,
1881,0,,,,,,,
1882,2,5.0,4.0,7.0,1.0,,,
1883,2,7.0,4.0,6.0,,,,
1884,2,7.0,5.0,,,,,
1885,5,4.0,7.0,,,,,
1886,2,5.0,1.0,4.0,7.0,,,
1888,4,,,,,,,
1890,2,,,,,,,
1891,1,4.0,5.0,6.0,0.0,,,
1892,1,,,,,,,
1893,5,1.0,2.0,4.0,0.0,,,
1894,1,0.0,5.0,4.0,2.0,,,
1895,5,4.0,7.0,2.0,,,,
1896,5,4.0,7.0,2.0,,,,
1897,4,5.0,1.0,0.0,3.0,,,
1931,2,1.0,,,,,,
1932,4,,,,,,,
1933,4,,,,,,,
1934,2,4.0,6.0,5.0,1.0,,,
1935,2,4.0,,,,,,
1936,4,2.0,5.0,1.0,0.0,,,
1937,4,,,,,,,
1938,4,,,,,,,
1939,2,5.0,1.0,,,,,
1940,2,1.0,6.0,4.0,,,,
1941,5,2.0,,,,,,
1942,2,4.0,,,,,,
1943,2,,,,,,,
1944,7,4.0,,,,,,
1945,6,2.0,,,,,,
1946,1,2.0,4.0,,,,,
1947,2,5.0,,,,,,
1948,2,5.0,,,,,,
1949,7,,,,,,,
1950,2,1.0,,,,,,
1951,2,7.0,5.0,6.0,1.0,,,
1952,1,,,,,,,
1953,5,0.0,6.0,2.0,1.0,,,
1954,4,1.0,,,,,,
1955,2,7.0,,,,,,
1956,5,2.0,0.0,,,,,
1957,2,5.0,6.0,0.0,,,,
1958,0,1.0,3.0,5.0,4.0,,,
1959,4,7.0,6.0,5.0,0.0,,,
1960,5,2.0,1.0,,,,,
1962,5,2.0,1.0,,,,,
1963,0,6.0,5.0,7.0,,,,
1964,4,5.0,,,,,,
1965,2,5.0,,,,,,
1966,2,5.0,1.0,3.0,,,,
1967,2,0.0,1.0,3.0,7.0,,,
1968,7,,,,,,,
1969,7,,,,,,,
2009,4,6.0,2.0,1.0,0.0,,,
2010,2,5.0,,,,,,
2011,5,2.0,,,,,,
2012,6,7.0,,,,,,
2013,1,2.0,0.0,5.0,6.0,,,
2014,6,3.0,0.0,1.0,7.0,,,
2016,2,7.0,1.0,,,,,
2017,2,1.0,7.0,6.0,5.0,,,
2018,7,1.0,0.0,2.0,,,,
2019,2,5.0,1.0,,,,,
2020,2,,,,,,,
2021,2,,,,,,,
2022,2,5.0,1.0,,,,,
2023,2,7.0,0.0,,,,,
2024,1,4.0,5.0,2.0,6.0,,,
2025,1,6.0,0.0,3.0,7.0,,,
2026,2,5.0,7.0,3.0,6.0,,,
2027,2,5.0,,,,,,
2028,2,5.0,,,,,,
2030,0,,,,,,,
2031,1,6.0,0.0,5.0,3.0,,,
2032,5,2.0,,,,,,
2033,6,4.0,5.0,7.0,,,,
2034,5,2.0,1.0,6.0,4.0,,,
2035,3,0.0,6.0,,,,,
2036,2,7.0,,,,,,
2037,4,6.0,2.0,0.0,1.0,,,
2038,2,1.0,7.0,4.0,5.0,,,
2039,2,7.0,,,,,,
2040,4,,,,,,,
