,1,2,3,4,5,6,7,8
0,2.0,7.0,6.0,5.0,8.0,4.0,1.0,3.0
0,2.0,7.0,6.0,4.0,5.0,3.0,8.0,1.0
0,2.0,7.0,3.0,4.0,8.0,5.0,1.0,6.0
0,2.0,7.0,6.0,5.0,8.0,4.0,1.0,3.0
1,6.0,2.0,4.0,3.0,8.0,7.0,5.0,1.0
1,6.0,2.0,8.0,3.0,1.0,4.0,7.0,5.0
1,6.0,2.0,1.0,8.0,3.0,4.0,5.0,7.0
2,6.0,4.0,7.0,3.0,2.0,5.0,1.0,8.0
2,6.0,4.0,2.0,7.0,3.0,5.0,8.0,1.0
2,6.0,4.0,5.0,8.0,7.0,2.0,1.0,3.0
3,2.0,4.0,5.0,6.0,8.0,1.0,3.0,7.0
3,2.0,1.0,6.0,5.0,3.0,7.0,4.0,8.0
3,2.0,7.0,1.0,5.0,4.0,8.0,6.0,3.0
4,4.0,5.0,1.0,2.0,7.0,6.0,8.0,3.0
4,4.0,5.0,1.0,2.0,7.0,6.0,8.0,3.0
5,6.0,7.0,2.0,5.0,4.0,8.0,1.0,3.0
5,6.0,7.0,2.0,5.0,4.0,8.0,1.0,3.0
6,2.0,7.0,4.0,6.0,5.0,8.0,1.0,3.0
6,2.0,7.0,4.0,6.0,5.0,8.0,1.0,3.0
7,8.0,2.0,4.0,3.0,7.0,1.0,5.0,6.0
7,8.0,2.0,4.0,3.0,1.0,5.0,6.0,7.0
8,6.0,2.0,8.0,4.0,3.0,5.0,7.0,1.0
8,6.0,2.0,8.0,3.0,7.0,5.0,1.0,4.0
9,6.0,2.0,4.0,3.0,8.0,5.0,7.0,1.0
9,6.0,2.0,4.0,3.0,8.0,7.0,1.0,5.0
10,2.0,6.0,4.0,5.0,1.0,7.0,8.0,3.0
10,2.0,6.0,4.0,5.0,7.0,8.0,3.0,1.0
11,2.0,8.0,7.0,4.0,5.0,3.0,1.0,6.0
11,2.0,8.0,7.0,4.0,5.0,3.0,1.0,6.0
12,7.0,2.0,5.0,4.0,8.0,1.0,6.0,3.0
12,7.0,2.0,5.0,4.0,8.0,6.0,3.0,1.0
13,2.0,8.0,7.0,5.0,4.0,3.0,1.0,6.0
14,5.0,4.0,7.0,3.0,2.0,6.0,1.0,8.0
15,4.0,5.0,6.0,2.0,7.0,1.0,3.0,8.0
16,4.0,5.0,1.0,6.0,2.0,3.0,7.0,8.0
17,7.0,6.0,2.0,5.0,3.0,4.0,1.0,8.0
18,5.0,6.0,2.0,7.0,1.0,3.0,8.0,4.0
19,2.0,7.0,5.0,6.0,1.0,4.0,8.0,3.0
20,4.0,2.0,3.0,5.0,7.0,8.0,6.0,1.0
21,4.0,5.0,7.0,8.0,3.0,6.0,2.0,1.0
22,6.0,4.0,3.0,2.0,5.0,1.0,7.0,8.0
23,2.0,8.0,7.0,4.0,5.0,3.0,1.0,6.0
24,7.0,2.0,4.0,6.0,1.0,5.0,3.0,8.0
25,4.0,7.0,2.0,6.0,5.0,3.0,1.0,8.0
26,6.0,4.0,5.0,8.0,7.0,2.0,1.0,3.0
27,2.0,7.0,6.0,5.0,8.0,4.0,1.0,3.0
28,5.0,3.0,2.0,7.0,8.0,4.0,1.0,6.0
29,2.0,7.0,4.0,5.0,6.0,3.0,1.0,8.0
30,5.0,7.0,2.0,6.0,4.0,8.0,3.0,1.0
31,2.0,7.0,6.0,4.0,5.0,3.0,8.0,1.0
32,6.0,8.0,5.0,3.0,7.0,1.0,4.0,2.0
33,1.0,5.0,2.0,3.0,4.0,7.0,6.0,8.0
34,2.0,7.0,1.0,5.0,4.0,8.0,6.0,3.0
35,5.0,2.0,3.0,4.0,7.0,1.0,6.0,8.0
36,5.0,4.0,8.0,7.0,6.0,1.0,3.0,2.0
37,2.0,7.0,3.0,4.0,8.0,5.0,1.0,6.0
38,2.0,7.0,5.0,4.0,6.0,8.0,1.0,3.0
39,1.0,2.0,7.0,5.0,4.0,3.0,6.0,8.0
40,2.0,6.0,3.0,1.0,7.0,5.0,4.0,8.0
41,2.0,7.0,4.0,6.0,5.0,1.0,3.0,8.0
42,6.0,4.0,2.0,7.0,3.0,5.0,8.0,1.0
43,6.0,4.0,7.0,3.0,2.0,5.0,1.0,8.0
44,2.0,7.0,6.0,3.0,1.0,8.0,5.0,4.0
45,2.0,6.0,5.0,1.0,4.0,8.0,3.0,7.0
46,7.0,6.0,5.0,2.0,8.0,1.0,4.0,3.0
47,6.0,2.0,1.0,4.0,5.0,3.0,7.0,8.0
48,1.0,2.0,6.0,5.0,3.0,4.0,7.0,8.0
49,2.0,7.0,3.0,4.0,6.0,5.0,1.0,8.0
50,6.0,7.0,8.0,2.0,4.0,3.0,1.0,5.0
51,1.0,2.0,6.0,8.0,7.0,4.0,5.0,3.0
52,4.0,5.0,7.0,2.0,1.0,8.0,6.0,3.0
53,1.0,5.0,6.0,4.0,2.0,8.0,7.0,3.0
54,3.0,2.0,6.0,4.0,5.0,1.0,8.0,7.0
55,6.0,7.0,2.0,4.0,5.0,8.0,1.0,3.0
56,6.0,7.0,2.0,3.0,5.0,4.0,1.0,8.0
57,5.0,2.0,7.0,4.0,6.0,1.0,8.0,3.0
58,6.0,3.0,4.0,2.0,7.0,5.0,8.0,1.0
59,2.0,7.0,6.0,5.0,4.0,8.0,1.0,3.0
60,2.0,4.0,8.0,6.0,3.0,5.0,1.0,7.0
61,2.0,7.0,4.0,5.0,8.0,3.0,1.0,6.0
62,7.0,2.0,1.0,3.0,8.0,5.0,6.0,4.0
63,7.0,6.0,2.0,4.0,5.0,8.0,3.0,1.0
64,7.0,2.0,4.0,5.0,8.0,1.0,6.0,3.0
65,6.0,4.0,5.0,2.0,8.0,3.0,1.0,7.0
66,2.0,1.0,6.0,5.0,3.0,7.0,8.0,4.0
