,0,1,2,3,4,5,6,7
1,Write-In cells: 246,,,,,,,
2,Overvote cells: 369,,,,,,,
3,William Rivera: 0,,,,,,,
4,Darlene Jackson: 1,,,,,,,
5,Amanda Farias: 2,,,,,,,
6,William Russell Moore: 3,,,,,,,
7,Michael Beltzer: 4,,,,,,,
8,Eliu A. Lara: 5,,,,,,,
9,Mohammed Mujumder: 6,,,,,,,
10,Mirza M. Rashid: 7,,,,,,,
51,0,1.0,,,,,,
52,2,1.0,3.0,0.0,4.0,,,
53,2,0.0,5.0,1.0,4.0,,,
54,1,2.0,,,,,,
55,2,1.0,3.0,4.0,,,,
56,0,2.0,5.0,4.0,3.0,,,
57,0,2.0,4.0,5.0,1.0,,,
58,4,6.0,,,,,,
59,2,6.0,0.0,5.0,7.0,,,
60,1,3.0,0.0,2.0,7.0,,,
61,4,2.0,1.0,5.0,7.0,,,
62,4,,,,,,,
63,2,1.0,3.0,4.0,7.0,,,
64,3,4.0,,,,,,
65,4,2.0,0.0,6.0,1.0,,,
66,2,0.0,,,,,,
67,4,0.0,2.0,,,,,
68,2,,,,,,,
69,2,7.0,1.0,6.0,3.0,,,
70,4,2.0,0.0,,,,,
71,2,,,,,,,
72,4,,,,,,,
85,6,7.0,,,,,,
86,4,2.0,6.0,,,,,
87,2,0.0,1.0,3.0,4.0,,,
88,2,,,,,,,
89,2,,,,,,,
90,2,0.0,4.0,1.0,3.0,,,
91,0,5.0,,,,,,
92,5,0.0,2.0,1.0,,,,
93,6,7.0,,,,,,
94,2,,,,,,,
95,2,6.0,1.0,4.0,,,,
96,2,5.0,0.0,,,,,
97,2,1.0,7.0,3.0,6.0,,,
98,7,6.0,1.0,,,,,
99,7,6.0,2.0,1.0,5.0,,,
100,6,5.0,0.0,2.0,1.0,,,
101,0,2.0,7.0,6.0,1.0,,,
102,4,,,,,,,
103,2,4.0,1.0,0.0,7.0,,,
179,2,1.0,7.0,3.0,6.0,,,
181,0,,,,,,,
182,2,4.0,,,,,,
183,7,6.0,0.0,2.0,1.0,,,
184,2,,,,,,,
185,2,1.0,7.0,3.0,6.0,,,
186,2,4.0,,,,,,
187,2,1.0,3.0,6.0,4.0,,,
188,7,6.0,3.0,0.0,2.0,,,
